sigma,gauss_threshold,overlap_threshold,center_distance,pair_gap,number_samples,recall,precision,f1_score
27.57757757757758,0.7037037037037037,73.67367367367368,96.2962962962963,37.98798798798799,755,1.0,1.0,1.0
34.334334334334336,0.2012012012012012,37.23723723723724,44.14414414414415,3.5535535535535536,972,0.0,0.0,0.0
34.034034034034036,0.9429429429429429,33.833833833833836,63.86386386386387,16.066066066066067,680,0.0,0.0,0.0
43.44344344344345,0.12712712712712712,73.77377377377378,92.1921921921922,15.365365365365367,520,0.0,0.0,0.0
15.815815815815817,0.6826826826826827,41.84184184184184,33.433433433433436,20.62062062062062,714,0.5,1.0,0.6666666666666666
15.115115115115117,0.5675675675675675,13.013013013013014,19.61961961961962,21.521521521521525,681,0.0,0.0,0.0
48.14814814814815,0.3883883883883884,69.36936936936938,76.67667667667668,46.24624624624625,179,0.0,0.0,0.0
31.531531531531535,0.5825825825825826,30.830830830830834,41.54154154154154,28.07807807807808,854,0.0,0.0,0.0
0.0,0.3113113113113113,29.32932932932933,21.521521521521525,22.022022022022025,805,0.0,0.0,0.0
29.67967967967968,0.6216216216216216,67.06706706706707,32.932932932932935,23.823823823823826,453,0.0,0.0,0.0
22.622622622622625,0.6916916916916916,21.821821821821825,52.352352352352355,24.224224224224226,813,0.5,0.5,0.5
46.14614614614615,0.9829829829829829,81.58158158158159,75.37537537537538,8.65865865865866,675,0.0,0.0,0.0
4.3043043043043046,0.2902902902902903,52.752752752752755,67.96796796796797,32.432432432432435,635,1.0,1.0,1.0
17.167167167167168,0.09509509509509509,83.88388388388388,97.4974974974975,38.48848848848849,241,1.0,1.0,1.0
34.434434434434436,0.3173173173173173,23.023023023023026,82.58258258258259,10.16016016016016,151,0.5,1.0,0.6666666666666666
1.2512512512512513,0.04704704704704705,25.025025025025027,48.64864864864865,31.281281281281284,871,1.0,1.0,1.0
39.33933933933934,0.07407407407407407,46.64664664664665,42.44244244244244,45.3953953953954,645,0.0,0.0,0.0
29.47947947947948,0.1991991991991992,73.57357357357358,71.37137137137138,19.66966966966967,507,0.5,0.5,0.5
20.47047047047047,0.24924924924924924,15.115115115115117,67.16716716716716,35.23523523523524,6,0.0,0.0,0.0
45.74574574574575,0.7687687687687688,88.18818818818819,78.87887887887888,45.34534534534535,110,0.5,0.5,0.5
39.88988988988989,0.43543543543543545,22.422422422422425,18.01801801801802,41.191191191191194,981,0.0,0.0,0.0
35.63563563563564,0.5305305305305306,47.54754754754755,5.105105105105105,28.52852852852853,256,0.0,0.0,0.0
46.996996996997,0.8688688688688688,12.412412412412413,46.74674674674675,6.806806806806807,821,0.0,0.0,0.0
23.773773773773776,0.6836836836836837,54.354354354354356,57.25725725725726,30.480480480480484,325,0.5,1.0,0.6666666666666666
48.64864864864865,0.7737737737737738,91.2912912912913,45.34534534534535,31.381381381381384,835,0.0,0.0,0.0
36.83683683683684,0.9139139139139139,51.651651651651655,43.64364364364365,42.54254254254254,929,0.0,0.0,0.0
28.07807807807808,0.45645645645645644,91.8918918918919,16.216216216216218,38.08808808808809,883,0.0,0.0,0.0
24.324324324324326,0.46046046046046046,26.526526526526528,76.97697697697699,12.662662662662663,861,1.0,1.0,1.0
32.632632632632635,0.2832832832832833,78.47847847847848,79.67967967967968,26.676676676676678,497,0.5,0.5,0.5
32.08208208208208,0.24424424424424424,28.12812812812813,45.04504504504505,3.9539539539539543,731,0.0,0.0,0.0
14.614614614614615,0.24024024024024024,27.82782782782783,34.334334334334336,16.366366366366368,915,0.5,1.0,0.6666666666666666
27.67767767767768,0.08208208208208208,14.114114114114114,15.415415415415417,11.811811811811813,393,0.0,0.0,0.0
35.53553553553554,0.15615615615615616,72.37237237237238,21.921921921921925,3.2532532532532534,425,0.0,0.0,0.0
20.87087087087087,0.3383383383383383,55.55555555555556,47.74774774774775,21.27127127127127,64,0.5,1.0,0.6666666666666666
10.56056056056056,0.8528528528528528,43.04304304304305,39.83983983983984,46.34634634634635,789,1.0,1.0,1.0
29.929929929929934,0.968968968968969,71.27127127127127,2.002002002002002,43.893893893893896,902,0.0,0.0,0.0
39.18918918918919,0.5895895895895896,38.93893893893894,48.84884884884885,0.3003003003003003,966,0.0,0.0,0.0
18.01801801801802,0.3053053053053053,77.17717717717719,39.93993993993994,43.693693693693696,914,0.5,1.0,0.6666666666666666
48.84884884884885,0.8558558558558559,42.94294294294295,55.15515515515516,38.28828828828829,753,0.0,0.0,0.0
27.97797797797798,0.8198198198198198,61.76176176176177,91.991991991992,11.261261261261263,500,1.0,1.0,1.0
11.211211211211213,0.27927927927927926,44.64464464464465,49.74974974974975,1.4514514514514516,399,1.0,1.0,1.0
17.217217217217218,0.6846846846846847,69.56956956956958,81.78178178178179,20.72072072072072,742,1.0,1.0,1.0
8.458458458458459,0.8608608608608609,47.84784784784785,94.1941941941942,6.506506506506507,638,1.0,1.0,1.0
27.32732732732733,0.02702702702702703,92.8928928928929,40.34034034034034,30.330330330330334,578,0.0,0.0,0.0
33.933933933933936,0.02702702702702703,8.508508508508509,65.86586586586587,21.921921921921925,139,0.5,1.0,0.6666666666666666
44.394394394394396,0.4724724724724725,18.61861861861862,5.105105105105105,13.313313313313314,389,0.0,0.0,0.0
16.766766766766768,0.21621621621621623,46.54654654654655,33.433433433433436,17.26726726726727,780,0.5,1.0,0.6666666666666666
45.04504504504505,0.3883883883883884,28.42842842842843,77.07707707707708,48.74874874874875,852,0.0,0.0,0.0
21.571571571571575,0.25825825825825827,85.4854854854855,8.308308308308309,24.074074074074076,20,0.0,0.0,0.0
38.38838838838839,0.5525525525525525,5.305305305305305,97.4974974974975,17.91791791791792,230,0.5,1.0,0.6666666666666666
33.28328328328328,0.07007007007007007,79.97997997997999,98.0980980980981,33.38338338338338,42,1.0,1.0,1.0
38.63863863863864,0.031031031031031032,97.2972972972973,25.325325325325327,10.21021021021021,860,0.0,0.0,0.0
1.001001001001001,0.6366366366366366,15.615615615615617,24.424424424424426,6.456456456456457,485,1.0,1.0,1.0
